"","X0.1","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1"
"1",2.75535922720216e-05,0.979626162911469,0.00788644760338754,0.00591112576500365,0.000244419903977954,0.00544960554352028,0.000854684680369343
"2",0.979822515312677,9.72253428408574e-06,0.00383930525735394,0.0044425643852658,0.000287451275161185,0.00837985308878072,0.00321858814647668
"3",2.23494105679598e-05,0.986080873396099,0.00274828668875452,0.00587090677165053,0.000283802235628183,0.00482483817318134,0.000168943324118494
"4",6.07701013694256e-06,0.955718931729296,0.0160593671823236,0.0222184401783006,0.00450816639162151,0.00118789874830283,0.000301118760018569
"5",1.57515160567509e-05,0.992180723657267,0.00261618366971725,0.00323892797232183,9.42647724985007e-05,0.00159667494671632,0.000257473465422004
"6",2.22102648222517e-06,2.64616528465192e-06,0.99989093485945,7.68584720455488e-05,1.52752801354426e-07,5.74594037161818e-07,2.66121298990407e-05
"7",0.0168284992808844,0.186618631760461,0.294668436492177,0.472021013732048,1.4791437978912e-05,0.0296591672178798,0.000189460078571317
"8",4.8394515265563e-05,0.000208119609910835,0.00200281029607097,0.000304209425965885,0.000289563892456949,0.00384739253299652,0.993299509727333
"9",0.0534869742609875,0.00582061154236273,0.00106216170397947,0.00942714727598824,0.00592728940969619,0.846633216457894,0.0776425993490921
"10",0.0250313621372243,2.14518046682361e-05,0.113767032388965,0.0125390992591278,0.00454659067309318,0.796931323345352,0.0471631403915691
"11",1.53183382901644e-05,0.987206687611321,0.00432145001093201,0.00388050327114415,0.00107317051268224,0.00260097261068193,0.000901897644948283
"12",0.0165001529875277,0.000120604294211843,0.275774709567134,0.00104591642690952,0.661332129494449,0.0412535496554465,0.0039729375743207
"13",0.0171426592362192,0.000253744564217568,0.000649247491653379,6.59457082188259e-05,0.312652174124324,0.6691551945536,8.10343217670948e-05
"14",0.00524249954554047,0.00766495320168114,0.0288728793768552,0.928654898582183,0.0240860258741984,0.00490537410811388,0.000573369311428082
"15",0.00023187342099166,0.000344218756348282,0.0737935827179066,0.00017832148333318,0.00158236910053151,0.000258602762545192,0.923611031758344
"16",0.00267831004463104,4.36498201750357e-05,0.00552986893021665,0.983019184991763,1.63182091829116e-05,0.00868998891765603,2.26790863756064e-05
